date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:36:45	34260/34260	---M-Z	200	added ('OK')	text/html	etag:%2285d4-5c6fce23-40d8fe8539f20ebf;gz%22	https://vivaco.com/demo/startuply/index-fast-register.html	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/index-fast-register.html	(from )
13:36:46	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Jun%202019%2013:36:44%20GMT	https://vivaco.com/robots.txt		(from )
13:36:47	2173/2173	---M--	200	added ('OK')	image/x-icon	etag:%2287d-5c6fce7e-d7eeb8d46890ee4b;;;%22	https://vivaco.com/demo/startuply/assets/img/favicon.ico	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/img/favicon.ico	(from https://vivaco.com/demo/startuply/index-fast-register.html)
13:36:47	1311/1311	---M--	200	added ('OK')	image/jpeg	etag:%2251f-5c6fce7e-d396e5cabb8c0754;;;%22	https://vivaco.com/demo/startuply/assets/img/apple-touch-icon.jpg	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/img/apple-touch-icon.jpg	(from https://vivaco.com/demo/startuply/index-fast-register.html)
13:36:47	1661/1661	---M--	200	added ('OK')	image/jpeg	etag:%2267d-5c6fce7e-28ea2e152b13c650;;;%22	https://vivaco.com/demo/startuply/assets/img/apple-touch-icon-72x72.jpg	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/img/apple-touch-icon-72x72.jpg	(from https://vivaco.com/demo/startuply/index-fast-register.html)
13:36:47	2797/2797	---M--	200	added ('OK')	image/jpeg	etag:%22aed-5c6fce7e-50cd05b4e74eb05d;;;%22	https://vivaco.com/demo/startuply/assets/img/apple-touch-icon-114x114.jpg	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/img/apple-touch-icon-114x114.jpg	(from https://vivaco.com/demo/startuply/index-fast-register.html)
13:36:48	23232/23232	---M-Z	200	added ('OK')	text/css	etag:%225ac0-5c6fce76-f7c6d05d8edd03bb;gz%22	https://vivaco.com/demo/startuply/assets/css/custom-animations.css	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/css/custom-animations.css	(from https://vivaco.com/demo/startuply/index-fast-register.html)
13:36:48	20781/20781	---M-Z	200	added ('OK')	text/css	etag:%22512d-5c6fd048-14df9fc806e4b05f;gz%22	https://vivaco.com/demo/startuply/assets/css/lib/font-awesome.min.css	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/css/lib/font-awesome.min.css	(from https://vivaco.com/demo/startuply/index-fast-register.html)
13:36:49	8353/8353	---M-Z	200	added ('OK')	text/html	etag:%2220a1-5c6fce24-ffe5102bb65c4954;gz%22	https://vivaco.com/demo/startuply/index.html	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/index.html	(from https://vivaco.com/demo/startuply/index-fast-register.html)
13:36:49	174424/174424	---M-Z	200	added ('OK')	text/css	etag:%222a958-5c6fce78-edb9c7ac2be3b1b9;gz%22	https://vivaco.com/demo/startuply/assets/css/style.css	C:/Users/Moses%20Adamu/Documents/MEST/KMEC/Website/Startuply/vivaco.com/demo/startuply/assets/css/style.css	(from https://vivaco.com/demo/startuply/index-fast-register.html)
